DATE,DENV708URN
2016-03-01,3.5
2016-04-01,3.2
2016-05-01,3.0
2016-06-01,3.4
2016-07-01,3.1
2016-08-01,3.0
2016-09-01,2.9
2016-10-01,2.8
2016-11-01,2.6
2016-12-01,2.6
2017-01-01,3.1
2017-02-01,2.9
2017-03-01,2.7
2017-04-01,2.5
2017-05-01,2.4
2017-06-01,2.8
2017-07-01,2.7
2017-08-01,2.7
2017-09-01,2.6
2017-10-01,2.6
2017-11-01,2.7
2017-12-01,2.7
2018-01-01,3.2
2018-02-01,3.2
2018-03-01,3.0
2018-04-01,2.9
2018-05-01,2.7
2018-06-01,3.3
2018-07-01,3.1
2018-08-01,3.1
2018-09-01,3.0
2018-10-01,3.0
2018-11-01,3.0
2018-12-01,3.1
2019-01-01,3.5
2019-02-01,3.1
2019-03-01,3.0
2019-04-01,2.7
2019-05-01,2.5
2019-06-01,2.8
2019-07-01,2.6
2019-08-01,2.6
2019-09-01,2.3
2019-10-01,2.3
2019-11-01,2.3
2019-12-01,2.3
2020-01-01,2.7
2020-02-01,2.8
2020-03-01,5.2
2020-04-01,12.3
2020-05-01,10.5
2020-06-01,11.1
2020-07-01,7.9
2020-08-01,7.0
2020-09-01,6.5
