,number of sales,number of listings
0,5629.379027731567,11851.863713850082
1,5354.545438947074,8844.39705005481
2,6548.008929301752,10285.674843650486
3,4777.002213349291,8970.665387840005
4,4719.5145500460985,10045.419117487072
5,5754.456278728419,7265.459997732723
6,4088.8592603067873,6612.765828279608
7,5036.804549753164,5000.603901284825
8,3282.699084665796,9085.07745063596
9,4455.847992864178,14067.19945625999
10,4235.382601637546,10190.434604678705
11,5321.646246450034,8414.967534048541
12,4246.079284069521,12535.744908088625
13,6347.67184288764,5789.55710527684
14,7195.398903717999,12210.135257252157
15,5093.864698398078,4703.248725520114
16,5360.563897953148,4779.135537160594
17,5401.520388796372,8899.424721734698
18,5157.594649989604,2545.627643366799
19,6135.9287667012195,6526.292343348449
20,4018.5296400440648,11967.493034914713
21,5230.886268172867,12025.381979919508
22,4595.140529440261,8038.317355360788
23,4992.4434502219065,4672.476092007437
24,5355.150887885713,5289.930683139561
25,7213.8313441178525,5364.192652926862
26,5356.4828289097195,11621.057698685065
27,4478.450201174755,5740.625344870037
28,5398.037837321314,13430.408231657339
29,5050.127677138273,11074.691515238754
30,5833.3092559180395,3913.831992108419
31,5323.944232687939,8959.862999095816
32,5904.7812513277195,11134.65024458561
33,5311.732789975451,10231.282408970561
34,5840.3347162361015,11777.409889465096
35,5457.513752115461,7124.4002292658315
36,4734.3451159453225,7756.408340261388
37,6183.557437536826,12700.417427229484
38,4953.062495818588,10917.791653702863
39,5371.162572551837,14505.696689093922
40,5254.691738713969,4206.2986011405665
41,4450.697515179392,11182.611309334992
42,6559.360455755853,10558.900356098842
43,3120.704170846505,9880.78937792145
44,5706.567175694747,10984.942796858428
45,5913.687123990895,-1569.0726211994688
46,4283.830367889848,12134.158938201246
47,6393.888367583251,12460.287488640912
48,5416.993869739139,9972.518217041516
49,5769.796291997813,5959.460438215603
